date,start,high,low,end,yield,
2015/1/5,900.6,908.8,885.3,901.2,16561000,
2015/1/6,884,884.5,872.6,872.8,23003000,
2015/1/7,864,879.3,862.3,872.7,18043000,
2015/1/8,880,882,873.7,874.4,16231000,
2015/1/9,879,890.5,878.6,883.7,16339000,
2015/1/13,872.3,885,865.1,884.7,17658000,
2015/1/14,883.9,889.7,873.2,873.6,16045000,
2015/1/15,866.4,883,866,880,16978000,
2015/1/16,865,881,863.1,880.7,20154000,
2015/1/19,885,887.9,872.5,879.2,12972000,
2015/1/20,882.2,894,877.8,893.6,13791000,
2015/1/21,895.9,896.5,885.3,889.8,15417000,
2015/1/22,885.1,886.2,873.5,883.8,14052000,
2015/1/23,892.3,906.6,891.3,905.5,20483000,
2015/1/26,896.5,919.1,894.7,917.7,18640000,
2015/1/27,920,922.9,914,920,18764000,
2015/1/28,907,916.3,906,913,18224000,
2015/1/29,905.3,911.6,897.4,899.2,16940000,
2015/1/30,903.2,908,897.1,897.3,17344000,
2015/2/2,877,884.5,867.3,877,20706000,
2015/2/3,882.1,883.9,862.3,864.9,19657000,
2015/2/4,870.2,880,864.4,866.6,21301000,
2015/2/5,776.6,800,768.2,781,132128000,
2015/2/6,787.9,791.6,782,787.3,51174000,
2015/2/9,796.3,799,791.7,798.7,28028000,
2015/2/10,800,800.2,787.5,792,36368000,
2015/2/12,800,800,787.6,790.2,40926000,
2015/2/13,790.2,792.9,778.4,782.1,38220000,
2015/2/16,778.5,781.6,772.5,773.9,37075000,
2015/2/17,773,784,766,780.2,40443000,
2015/2/18,789,821.5,788.1,819.6,59533000,
2015/2/19,825,829,811.2,813.9,35479000,
2015/2/20,825.2,834.5,817.1,831.8,42303000,
2015/2/23,843.9,845.9,830.6,834.7,30839000,
2015/2/24,831,834.7,827.1,828.2,29364000,
2015/2/25,819.5,828.5,801.1,821.3,31563000,
2015/2/26,811.1,822.7,810,822,27826000,
2015/2/27,826,827.3,812.7,818,35362000,
2015/3/2,817,818.4,808,808.7,33741000,
2015/3/3,810,811.9,801.2,804.1,25538000,
2015/3/4,800,810,785.8,806.2,26943000,
2015/3/5,804.2,813.7,801.1,812.9,20138000,
