date,start,end,low,high,yield
2015/1/5,658.4,659.4,646.8,654.6,40858100
2015/1/6,639,641,633,634,59788000
2015/1/7,628,630.8,620.3,623.1,58569700
2015/1/8,632,632.8,626.5,627.1,38345000
2015/1/9,630.2,632.8,623.9,632.8,53702100
2015/1/13,622,631.4,615.1,629.7,44907700
2015/1/14,623.2,627.6,616.3,616.9,39947100
2015/1/15,616.5,620.8,611.5,618.8,47218400
2015/1/16,606,614.7,604,614.7,52009300
2015/1/19,616.9,618,605.8,608.8,38886900
2015/1/20,615.2,625.2,611.4,625,49910700
2015/1/21,625.7,627.9,617.6,620.6,38087400
2015/1/22,618.8,619.2,610.5,614.7,43069900
2015/1/23,623,627.3,619.3,622.2,47743600
2015/1/26,615,622.7,612,622.7,39829800
2015/1/27,630,643,628.2,642.8,61072800
2015/1/28,636.1,641.8,634.5,640.1,49100700
2015/1/29,632.6,637.4,629.5,630.8,41421800
2015/1/30,635.2,640,632.3,632.3,53589100
2015/2/2,623.4,626.3,617.4,625,41488600
2015/2/3,630.4,635.8,621.3,622,43566500
2015/2/4,634,664.9,633.5,654.1,118064400
2015/2/5,659.9,667.9,647.5,656.9,90686700
2015/2/6,667.1,672.8,661.9,671.8,66018500
2015/2/9,680,685.6,673.3,679.9,60923200
2015/2/10,677.4,683.5,675.2,683.3,40142700
2015/2/12,695,703.7,694.6,702,127709500
2015/2/13,705.6,709.3,701.2,707.1,86812800
2015/2/16,715,735.7,714.9,729,119101400
2015/2/17,723.8,733.1,715.6,720.4,92216900
2015/2/18,730.9,745,730.4,743.3,97232300
2015/2/19,754.3,771,750.9,770.2,125499700
2015/2/20,773.9,773.9,758,765.5,86665700
2015/2/23,774,779,740,752.7,105776600
2015/2/24,749.5,756.1,745.5,752.1,57951000
2015/2/25,763.3,769,752.9,762.7,60399800
2015/2/26,763,787.8,759,786.9,116148400
2015/2/27,790,792,769.1,777.7,114549500
2015/3/2,783.8,783.8,764.7,767.6,72324300
2015/3/3,773.6,773.8,751.7,759.5,69790900
2015/3/4,750.3,752,735.2,745,83546600
2015/3/5,744,757.8,742.7,757.1,58812200
2015/3/6,757.6,778.6,755.5,778.5,84790300
2015/3/9,771,782.5,765.9,781,69365600
2015/3/10,784,784.2,751.3,755.9,98608700
2015/3/11,749,758,745.5,749.1,74698400
2015/3/12,757.2,774.8,753.4,773.4,77331500
2015/3/13,781,795.4,778,789.5,134578900
2015/3/16,797.1,809.5,790,797,92907600
2015/3/17,807,811,792.5,793.2,72521700
2015/3/18,792.1,808.9,787,806.6,75154500
2015/3/19,803,805.6,781.2,785,101420600
2015/3/20,783.7,790,777,790,59188500
2015/3/23,790.5,796.7,787.1,787.5,55979700
2015/3/24,787.1,788,778.7,784.8,51262200
2015/3/25,782,787,777.7,783.2,52970500
2015/3/26,777,777.7,761,765.1,76876300
2015/3/27,756,775.4,747,752.2,79314300
2015/3/30,749.5,761,738.6,756.5,56267600
2015/3/31,769,771.9,743.7,743.7,63092000
2015/4/1,742.6,758.1,735.6,748.7,75510400
2015/4/2,748.7,781.7,747.8,773,100087400
2015/4/3,776.9,779.8,763.1,771.4,54455800
2015/4/6,761.5,767.8,756.4,764.6,35853300
2015/4/7,776,791,774.7,788,89272700
2015/4/8,794,796.5,786,794,74944400
2015/4/9,791.8,794.5,781.3,785.8,63762500
2015/4/10,783,787.8,777.3,777.3,59744000
2015/4/13,780,780.7,768.5,771.4,40110000
2015/4/14,768,781,767,780,39379000
2015/4/15,775.7,786.7,773.5,783.7,46599400
2015/4/16,782.1,805.3,780.1,805.3,114900900
2015/4/17,808,826.8,800.6,822,162374800
2015/4/20,809,836.7,803.7,826.4,120006900
2015/4/21,836,855.4,835.3,854,132143200
2015/4/22,858.1,887.8,857.9,879.2,170257900
2015/4/23,889.9,895,850.7,861.7,153563400
2015/4/24,857.6,872,854.5,856.8,76406500
2015/4/27,857.6,863,842.2,851.1,80911800
2015/4/28,861.5,863,851.5,855.7,62769800
2015/4/30,850.2,858.8,841.5,855.9,98849100
2015/5/1,848,852,831.1,842.2,96854400
2015/5/7,839,842.5,830.2,836.4,77009700
2015/5/8,841,883.7,837.4,882.8,123657100
2015/5/11,900,911.6,868.6,872,139105300
2015/5/12,868,874,855,864.7,84276900
2015/5/13,859.1,868.9,852.7,865.2,75402400
2015/5/14,856.6,863.4,842.9,844,96262500
2015/5/15,853.1,881.7,840.3,871.9,140332900
2015/5/18,883,911.8,883,911.8,191737100
2015/5/19,908,909,896.6,899.1,130531700
2015/5/20,906.5,912.8,896.8,898.7,127234900
2015/5/21,900.7,919.7,899.5,906.8,121155800
2015/5/22,902.6,907.4,891.6,899.5,108099100
2015/5/25,908,909.2,903,905.4,48716300
2015/5/26,905.6,908.8,900.8,900.8,49601600
2015/5/27,895.9,905.5,891.1,896.6,84941300
2015/5/28,908,926.6,901.2,917.3,159222900
2015/5/29,925.4,931.3,913.8,921.2,115360200
2015/6/1,911.6,936.8,909.2,935,74918300
2015/6/2,935,935.1,911.9,914,94106000
2015/6/3,914.1,921.8,908.1,913.7,70921100
2015/6/4,916.1,932.4,913.4,924.3,78457900
2015/6/5,915,916,900,906.4,104283500
2015/6/8,918,918,896.2,900.8,85245200
2015/6/9,892,903.6,884.2,884.3,80756300
2015/6/10,883,894.3,876.1,877,92421100
2015/6/11,886.6,903.3,886,891.9,88150500
2015/6/12,890.8,894.7,881.3,890,105316400
2015/6/15,885.2,893.2,881.5,889.5,52462500
2015/6/16,885.5,886.8,871.3,875.5,72681500
2015/6/17,880.5,881.5,864.1,867.9,60380500
2015/6/18,868.4,870.6,851,854.5,68265300
2015/6/19,870.5,872.3,855.8,860,75822500
2015/6/22,870,891.8,868.3,889,80802700
2015/6/23,906,913.5,899.6,906.5,89276300
2015/6/24,912.6,916.3,905,912.2,76666500
2015/6/25,904.8,912.4,903.4,905,47409900
2015/6/26,904.2,916.4,898.2,915.5,68984600
2015/6/29,880,893.9,877.8,885.8,93334700
2015/6/30,881.7,885.7,865.6,879.8,104116200
2015/7/1,880.1,894.3,875,888,48059300
2015/7/2,899.5,901.8,892.6,892.7,47688700
2015/7/3,896.9,907.6,893.1,903.5,66677800
2015/7/6,885,890,870.4,876.3,93289100
2015/7/7,885,892.4,878,880.2,67924500
2015/7/8,875,877.8,840.5,840.5,102508500
2015/7/9,815,841.8,803.7,838.2,141551400
2015/7/10,839.4,868,838.6,857.3,107135400
2015/7/13,870,874.6,859.6,872,63947900
2015/7/14,889,889.7,880.9,885.3,63814900
2015/7/15,889,889.9,877.7,883,54334100
2015/7/16,888,891.5,885.2,891.5,52106800
2015/7/17,895,908,891.6,902.1,65582200
2015/7/21,910,911.5,901.1,909.9,48341500
2015/7/22,894.3,894.8,884.7,888.3,67298100
2015/7/23,893.6,897.5,888.8,896.4,40764000
2015/7/24,895,896.7,882,884.7,43588300
2015/7/27,877.9,886.4,870.3,885.6,50755800
2015/7/28,871.1,883.8,861.7,875.2,64201200
2015/7/29,882.2,889.6,876.2,878.8,47292300
2015/7/30,888,896.3,885.5,893.2,59617200
2015/7/31,896.5,900,885.5,900,53329200
2015/8/3,903,903.5,875.8,884,76874900
2015/8/4,882,893.5,875,884.6,49021700
2015/8/5,880.5,891.3,875.1,886,44178400
2015/8/6,893.4,905,886.1,886.5,71803000
2015/8/7,886.1,894.9,881.5,894.6,49630800
2015/8/10,892.9,893,881.5,889.1,50683700
2015/8/11,899,901.9,887.2,891.6,66681100
2015/8/12,894.1,903.4,871.4,879.5,87348900
2015/8/13,871.4,880,862,865.7,82160200
2015/8/14,865.5,873.7,860.4,864,55099700
2015/8/17,869.1,882.7,861,864.3,59232000
2015/8/18,867.1,877.9,864.3,875.2,45965100
2015/8/19,871,883.1,866.5,868,61123800
2015/8/20,862,863.9,849.8,849.8,70685300
2015/8/21,810.1,823.4,807.2,814.9,116780800
2015/8/24,779,787,745.3,746.9,170240800
2015/8/25,717,798.3,716,744.3,197354600
2015/8/26,750,771.9,733,769.6,121657700
2015/8/27,788.7,805.7,784.3,786.9,102953900
2015/8/28,815,826.7,810.2,820.1,86805800
2015/8/31,813,813.8,800.1,800.1,78062600
2015/9/1,797.1,802.8,777,777,76251200
2015/9/2,750,787.7,748.3,767.1,93995700
2015/9/3,780,781.4,761.3,761.3,54129800
2015/9/4,761.5,763.6,732.1,738,86738700
2015/9/7,727.2,744.8,721.3,739.6,78851800
2015/9/8,739,742.5,726,728.6,46593900
2015/9/9,757,783,747.1,782.7,86162800
2015/9/10,754,768.5,750.2,763.1,68908700
2015/9/11,758,777,754.8,771.8,87294400
2015/9/14,770,770,750.3,753.4,53697800
2015/9/15,756,769.3,747.2,748,65087300
2015/9/16,760,768.7,757.1,761.5,55052500
2015/9/17,770.1,772.1,755.4,768.3,48188600
2015/9/18,760.2,760.5,741.2,744,97162800
2015/9/24,731.1,737.9,723.3,723.3,69907300
2015/9/25,727.6,753,723.4,751.7,78030200
2015/9/28,743,757,737.7,742,52064400
2015/9/29,725,725.1,692.2,699.5,99317700
2015/9/30,713,728.5,712.6,716.4,72443400
2015/10/1,730.7,751.6,721.5,741.9,76334800
2015/10/2,737,748.2,734.1,747.7,45501200
2015/10/5,753.3,754.9,745.6,748.2,36037700
