date,start,high,low,end,yield,,
2015/1/5,202,202.3,200.1,201,118255600,,
2015/1/6,199.4,199.7,198,198,183940000,,
2015/1/7,197.4,198.5,196.6,197,153946700,,
2015/1/8,198.7,198.8,197,197.4,132651500,,
2015/1/9,198,198.4,196.6,197.5,128595500,,
2015/1/13,196.7,196.8,194.8,196.3,139449100,,
2015/1/14,195.3,195.5,194,194.2,134416000,,
2015/1/15,194.5,195,193.9,194.4,130134600,,
2015/1/16,193,194.3,191.6,194.3,139028500,,
2015/1/19,194.8,195.5,193.2,193.9,92486300,,
2015/1/20,194.5,197.8,194,197.3,107664200,,
2015/1/21,197.3,197.3,194.8,196,95807100,,
2015/1/22,196,196.2,194.6,196,71860200,,
2015/1/23,197.5,198.9,196.9,197.5,103906500,,
2015/1/26,196,197.2,195.1,196.4,107156400,,
2015/1/27,197.6,200.3,197.3,200,137314600,,
2015/1/28,198.2,199.6,198.1,198.6,105290100,,
2015/1/29,197.8,197.8,195.2,195.8,143828000,,
2015/1/30,195.8,196,194,194,149554800,,
2015/2/2,193,193,191.8,192.4,140615800,,
2015/2/3,193,193.2,191,191,141490200,,
2015/2/4,192.7,195.4,192.1,193.4,193831600,,
2015/2/5,193.8,197.5,192.8,195.4,167274400,,
2015/2/6,197,197.9,196.2,197.9,136370400,,
2015/2/9,199.8,200,198.3,199.9,115290400,,
2015/2/10,199.6,200,199,199.9,91129800,,
2015/2/12,201.7,202.6,200.9,202.4,177581200,,
2015/2/13,202.6,203.7,202.2,203.4,168640900,,
2015/2/16,204.3,207.8,204.3,206.7,215548100,,
2015/2/17,206.3,208.5,206.2,207.7,187409900,,
2015/2/18,208.9,211,208.8,210.6,242489900,,
2015/2/19,212.4,218.7,212.4,218.2,393934600,,
2015/2/20,218.8,218.8,215,217,230692100,,
2015/2/23,219.1,220,214.6,218.7,304239400,,
2015/2/24,217.4,220.3,217.4,219,221587700,,
2015/2/25,219.9,220.8,218.1,218.9,175941200,,
2015/2/26,218.7,220.3,218.3,220.1,192281200,,
2015/2/27,220.6,221.5,218.5,220.5,242310800,,
2015/3/2,221.5,221.8,219.6,220,139441500,,
2015/3/3,220.8,220.8,216.5,217.8,174180300,,
2015/3/4,216,216.9,215.1,215.9,151044300,,
2015/3/5,215.8,217.7,215.8,217.7,112914000,,
2015/3/6,218.5,220.7,218.1,220.7,203737300,,
2015/3/9,220.1,220.4,219.1,220.2,126438800,,
2015/3/10,220.6,220.7,216.3,217.6,178141800,,
2015/3/11,216.1,218.3,216,217.5,119771400,,
2015/3/12,218,221.5,217.7,220.8,191122600,,
2015/3/13,221.5,223.9,221.1,222.4,261345000,,
2015/3/16,223,224.7,222.5,223.2,151501000,,
2015/3/17,224.6,224.7,222,222.1,145772400,,
2015/3/18,222.5,224.2,221.5,223.7,145565400,,
2015/3/19,223.6,223.7,221,221.9,144083800,,
2015/3/20,222.3,224.8,221.7,224.7,143997000,,
2015/3/23,225,226.6,224.5,224.6,158412700,,
2015/3/24,225,225.6,223.3,224.7,131120100,,
2015/3/25,224.2,224.7,222.8,224.4,139192000,,
2015/3/26,223.3,223.7,221.7,222.8,185451500,,
2015/3/27,218.5,220.5,214.5,215.1,254624100,,
2015/3/30,215.4,215.5,210.1,215.3,202366700,,
2015/3/31,217.7,217.9,211.1,211.1,158500400,,
2015/4/1,210.4,212.7,208.6,210.6,159202600,,
2015/4/2,211.9,216,211.6,214.4,149134400,,
2015/4/3,214.5,214.6,211.3,213.9,104339300,,
2015/4/6,211.5,212.5,211,212.1,66964800,,
2015/4/7,213.3,215.9,213.1,215,128957900,,
2015/4/8,215.1,216.6,214.2,214.6,137771700,,
2015/4/9,214.8,215.1,213.3,214.3,99823000,,
2015/4/10,214.5,214.7,213,213.6,99610700,,
2015/4/13,213.9,213.9,212.3,213.3,68979200,,
2015/4/14,213.6,214.3,212.5,213.9,89913100,,
2015/4/15,212.8,214.2,212.7,213.1,85136800,,
2015/4/16,213.2,221,213.1,220.7,248759700,,
2015/4/17,220.6,224.2,219.8,222.6,282139100,,
2015/4/20,219.9,224.9,219.1,222.9,271994000,,
2015/4/21,224.1,227.3,223.6,226.8,360347600,,
2015/4/22,227.5,233.9,227.5,232.5,523441200,,
2015/4/23,235,236.6,229.7,232.2,300413400,,
2015/4/24,232.2,233.6,230,230.7,186000200,,
2015/4/27,231.1,232,229,230.3,136337000,,
2015/4/28,231,231.7,229.9,231.7,128961700,,
2015/4/30,230.3,231.3,227.1,228.7,190974300,,
2015/5/1,226.7,227.6,223.1,226.3,180433300,,
2015/5/7,224.7,227.2,224.4,226.6,166170800,,
2015/5/8,226.6,234.6,226.3,234.1,345502600,,
2015/5/11,237.8,241,232.8,233.5,270644500,,
2015/5/12,233.8,235.3,232.2,235.3,125597700,,
2015/5/13,235.5,236.7,232.7,234.7,151561800,,
2015/5/14,233.9,233.9,229.4,229.7,136879900,,
2015/5/15,233,235.7,230,234.6,192870400,,
2015/5/18,236.6,245.7,236.5,245.7,462265300,,
2015/5/19,245.7,248.3,243,246.4,328195400,,
2015/5/20,248,249.3,246,246.1,233923800,,
2015/5/21,247.7,250,245.6,248.8,267681300,,
2015/5/22,249,249.8,245.9,248.4,185801400,,
2015/5/25,250,251.9,249.3,251.1,182631300,,
2015/5/26,251.4,252,249.6,250,107690100,,
2015/5/27,249,257,248.2,256,306544200,,
2015/5/28,259,272.9,259,271.1,620879700,,
2015/5/29,273,279,266.1,274.6,580912700,,
2015/6/1,269.9,280.4,269.1,279.6,378675800,,
2015/6/2,280,280.4,269.7,270.5,436073600,,
2015/6/3,268.1,270.9,265.8,266.8,307706200,,
2015/6/4,267.4,272.2,266.7,269.1,247602100,,
2015/6/5,266,267.9,263.1,264.2,236236400,,
2015/6/8,270.5,271.4,264.1,265.2,220129700,,
2015/6/9,262.9,267.7,260.3,260.3,234178000,,
2015/6/10,260,263.7,255.6,256.8,315595900,,
2015/6/11,261.4,264.7,258.8,261,264136100,,
2015/6/12,265,265.5,261.4,262.7,267326300,,
2015/6/15,262,265.1,261.6,263.4,164871200,,
2015/6/16,262,262.3,257.3,257.5,187297200,,
2015/6/17,259.3,261,257,257.8,145862200,,
2015/6/18,257.9,257.9,251.9,251.9,205263400,,
2015/6/19,255.2,255.5,250.1,252.4,189482100,,
2015/6/22,254,259.3,253,258.6,299074200,,
2015/6/23,260,271.8,259.9,270.5,482768800,,
2015/6/24,275,276,271.4,271.8,318424200,,
2015/6/25,269,273.2,268.8,271,218125800,,
2015/6/26,270,275.5,268.8,274.9,243838100,,
2015/6/29,258.9,268.6,258.6,265.1,329175900,,
2015/6/30,264.3,267.4,258.7,265,349005000,,
2015/7/1,267,267.6,263.1,265.3,190079200,,
2015/7/2,268.8,269.6,265.2,265.3,193003800,,
2015/7/3,266,272.5,265.3,271.7,289008900,,
2015/7/6,266,268.3,261.7,263.5,304987900,,
2015/7/7,266.9,269.6,265,265.4,210934300,,
2015/7/8,264,264.5,252.6,253.3,308989600,,
2015/7/9,248,255.4,243.6,255.2,387486000,,
2015/7/10,255.2,263.2,252.3,258.3,320297400,,
2015/7/13,261.4,262.6,258.7,262,184144000,,
2015/7/14,266,267.3,263.6,265.6,211116100,,
2015/7/15,266.8,266.9,263.7,265.7,127324800,,
2015/7/16,267.2,269,266,269,168525400,,
2015/7/17,269.5,271,268.3,270,160463500,,
2015/7/21,272,272.8,269.5,271.9,140427300,,
2015/7/22,269,269,266.5,266.7,148518800,,
2015/7/23,267,268.9,266,268.1,107427900,,
2015/7/24,267.4,268.3,263.8,264.6,136756000,,
2015/7/27,261.8,266,260.2,265.5,151008800,,
2015/7/28,262.5,263,257.3,261,201306300,,
2015/7/29,263,265.3,260.8,262.4,150078800,,
2015/7/30,264.6,268.9,264.5,268,203475400,,
2015/7/31,268.8,269.5,265.8,267.9,140571300,,
2015/8/3,270,270,261.7,263.5,175473400,,
2015/8/4,262.4,265.4,261,262,137869000,,
2015/8/5,261.5,265.1,258,262.4,153032500,,
2015/8/6,264.5,269.4,264.2,264.2,199154300,,
2015/8/7,264,268.3,263.4,267.8,138626300,,
2015/8/10,266,267.3,264.5,267.3,109038200,,
2015/8/11,269.4,270.6,265.6,267.4,185570800,,
2015/8/12,267.4,268.4,260,262.4,229809800,,
2015/8/13,260.2,261.7,259.1,260.1,199637700,,
2015/8/14,259.5,259.8,256.3,257,175992800,,
2015/8/17,258.3,263.2,256.7,258.5,151438900,,
2015/8/18,259.3,263.3,258.7,262.6,153782100,,
2015/8/19,263.3,266.8,262.2,262.3,212566200,,
2015/8/20,260.4,261.8,256.7,258.5,198166900,,
2015/8/21,251.8,253.2,248.8,250,291783700,,
2015/8/24,240,241.4,228.1,229.6,428373500,,
2015/8/25,221.1,241,219.8,228,574417700,,
2015/8/26,231,237.9,228.1,236.8,378742200,,
2015/8/27,244,245.8,240.7,242.1,290712900,,
2015/8/28,249.5,253.7,248.5,252.4,269141100,,
2015/8/31,250,250.9,247.7,248.7,201259600,,
2015/9/1,247,249.1,240,240,237795300,,
2015/9/2,234.9,245.8,232.9,241.3,323346500,,
2015/9/3,243.6,244.5,237.7,238.2,186812900,,
2015/9/4,238.8,238.9,230.6,233.6,237145400,,
2015/9/7,230.3,231.9,225.2,230.6,284177300,,
2015/9/8,229.7,230.4,226.1,226.4,184014400,,
2015/9/9,235,244.8,232.1,244.8,297652000,,
2015/9/10,237,240,233.7,236.5,275141800,,
2015/9/11,233.6,239.7,233.6,239.1,245288400,,
2015/9/14,239.2,240.2,235,235.7,155043100,,
2015/9/15,237.8,240.7,235.2,235.2,183172100,,
2015/9/16,238,238.3,235.7,236.4,132805600,,
2015/9/17,238.3,238.7,234.5,237.8,136514100,,
2015/9/18,235.5,235.7,230.2,233.4,308071000,,
2015/9/24,230,230.6,227.9,228.2,173659600,,
2015/9/25,229.1,235.3,228,235.2,239411100,,
2015/9/28,232.1,233.9,228.4,230.1,166788500,,
2015/9/29,226,226.2,215.7,217.9,316161300,,
2015/9/30,220,225.2,219.7,222.9,175127100,,
2015/10/1,225,231.9,222.6,230.1,195918900,,
2015/10/2,228,229.5,226.9,229.4,125919200,,
2015/10/5,231.5,232.1,229.7,231,111283400,,
2015/10/6,234.1,236.7,233.6,234.5,192186800,,
2015/10/7,234.5,237.8,233.3,236.6,163552800,,
2015/10/8,236.6,238.3,235.5,236.2,150629700,,
2015/10/9,238.5,239.4,236.1,238.4,176760700,,
2015/10/13,237.1,237.7,233.9,235.2,122065200,,
2015/10/14,233,234.4,229.2,229.9,140275300,,
2015/10/15,228,232.8,226.4,231.9,133535400,,
2015/10/16,233.5,237.5,233.1,236.9,148916500,,
2015/10/19,237.5,237.6,233,233.4,110662200,,
2015/10/20,236,239.7,235.5,238.8,155796700,,
2015/10/21,240,244.2,239.2,243.7,185731600,,
2015/10/22,241.9,246.3,241.4,243.7,151278400,,
2015/10/23,248.7,250.7,247.4,247.5,185941400,,
2015/10/26,250,250.8,248.2,248.4,112428700,,
2015/10/27,247.9,248.8,246.1,246.2,96149400,,
2015/10/28,246.6,248.2,246.4,248,74303000,,
