date,start,high,low,end,yield
2017/1/4,3504,3571,3500,3571,5941300
2017/1/5,3600,3604,3550,3569,4479400
2017/1/6,3458,3538,3453,3501,4710900
2017/1/10,3500,3515,3462,3462,4973700
2017/1/11,3479,3486,3455,3471,4354500
2017/1/12,3450,3483,3421,3457,3819600
2017/1/13,3438,3464,3436,3446,4071500
2017/1/16,3456,3466,3431,3445,3245300
2017/1/17,3431,3435,3353,3353,6243700
2017/1/18,3330,3415,3318,3403,4641600
2017/1/19,3472,3496,3452,3488,5517300
2017/1/20,3475,3508,3475,3492,4423000
2017/1/23,3425,3448,3415,3432,4593100
2017/1/24,3364,3396,3363,3375,4637600
2017/1/25,3459,3482,3436,3450,4241300
2017/1/26,3545,3545,3489,3502,6695700
2017/1/27,3487,3488,3452,3484,4674100
2017/1/30,3451,3490,3449,3485,3377900
2017/1/31,3380,3423,3375,3387,5979200
2017/2/1,3305,3417,3292,3415,5165300
2017/2/2,3423,3468,3397,3417,6255000
2017/2/3,3401,3439,3400,3423,4775900
2017/2/6,3551,3552,3485,3493,6356500
2017/2/7,3508,3569,3482,3541,5851000
2017/2/8,3533,3579,3532,3574,5104700
2017/2/9,3529,3533,3481,3504,4034400
2017/2/10,3574,3614,3556,3605,6141700
2017/2/13,3638,3675,3619,3650,4868200
2017/2/14,3667,3669,3594,3600,3626400
2017/2/15,3650,3660,3630,3631,3178600
2017/2/16,3625,3629,3568,3609,4274900
2017/2/17,3569,3598,3569,3586,3258600
2017/2/20,3587,3599,3545,3574,3554100
2017/2/21,3590,3608,3582,3596,3345500
2017/2/22,3616,3635,3600,3619,4157000
2017/2/23,3608,3614,3555,3570,3363900
2017/2/24,3555,3578,3543,3553,3254100
2017/2/27,3520,3523,3463,3498,3879100
2017/2/28,3527,3548,3488,3489,4445600
2017/3/1,3500,3531,3485,3521,4968400
2017/3/2,3600,3600,3541,3543,6180100
2017/3/3,3550,3563,3532,3557,4397800
2017/3/6,3527,3554,3518,3536,2288200
2017/3/7,3536,3564,3523,3557,3156700
2017/3/8,3530,3539,3501,3537,3517800
2017/3/9,3557,3562,3528,3542,2713400
2017/3/10,3584,3602,3572,3595,6815400
2017/3/13,3552,3574,3547,3554,3852300
2017/3/14,3554,3555,3533,3536,2526400
2017/3/15,3511,3576,3511,3574,3155700
2017/3/16,3504,3561,3495,3556,5814100
2017/3/17,3537,3553,3521,3534,3917400
2017/3/21,3568,3568,3508,3542,3692800
2017/3/22,3454,3459,3413,3413,4882100
2017/3/23,3417,3447,3403,3434,4109400
2017/3/24,3423,3446,3411,3440,4650500
2017/3/27,3393,3413,3373,3390,3584000
2017/3/28,3414,3429,3385,3403,4881700
2017/3/29,3413,3438,3405,3436,3587100
2017/3/30,3411,3430,3394,3395,2531800
2017/3/31,3396,3424,3351,3351,4797500
2017/4/3,3378,3383,3344,3351,3715500
2017/4/4,3299,3300,3236,3262,6734700
2017/4/5,3248,3256,3177,3210,7047500
2017/4/6,3140,3203,3135,3148,6946000
2017/4/7,3185,3202,3139,3157,5602300
2017/4/10,3191,3205,3167,3182,3444100
2017/4/11,3156,3182,3148,3182,2984200
2017/4/12,3142,3151,3113,3131,4248100
2017/4/13,3106,3146,3092,3135,4795200
2017/4/14,3139,3139,3085,3117,4531000
2017/4/17,3085,3106,3076,3099,2481200
2017/4/18,3134,3156,3087,3098,3185600
2017/4/19,3089,3091,3047,3061,4669800
2017/4/20,3079,3107,3065,3077,4225100
2017/4/21,3103,3134,3101,3115,4395600
2017/4/24,3188,3200,3151,3165,4457700
2017/4/25,3145,3202,3142,3189,4113700
2017/4/26,3223,3256,3207,3256,5009900
2017/4/27,3238,3257,3237,3245,4425600
2017/4/28,3230,3248,3214,3232,3959200
2017/5/1,3232,3251,3228,3245,4677800
2017/5/2,3223,3247,3223,3235,5820700
2017/5/8,3247,3275,3236,3261,9611100
2017/5/9,3261,3270,3198,3205,8117900
2017/5/10,3232,3250,3224,3230,6744800
2017/5/11,3241,3253,3215,3250,4119400
2017/5/12,3247,3250,3186,3199,7097300
2017/5/15,3165,3208,3152,3194,4830300
2017/5/16,3210,3231,3158,3167,7361700
2017/5/17,3130,3149,3106,3135,6087500
2017/5/18,3090,3101,3062,3065,6215600
2017/5/19,3051,3069,3046,3050,9424400
2017/5/22,3068,3096,3067,3085,4428200
2017/5/23,3081,3099,3059,3069,6803300
2017/5/24,3110,3141,3105,3135,5211300
2017/5/25,3104,3108,3084,3095,6494000
2017/5/26,3095,3106,3058,3058,5748200
2017/5/29,3059,3074,3048,3064,4435800
2017/5/30,3065,3075,3052,3073,4220000
2017/5/31,3070,3119,3062,3117,12265000
2017/6/1,3100,3125,3094,3112,4976500
2017/6/2,3145,3198,3134,3194,6821200
2017/6/5,3148,3151,3111,3117,6053400
2017/6/6,3100,3139,3093,3112,4903300
2017/6/7,3100,3106,3084,3098,5031800
2017/6/8,3103,3104,3066,3068,5008500
2017/6/9,3050,3086,3048,3075,7762900
2017/6/12,3077,3093,3065,3066,4425200
2017/6/13,3080,3088,3056,3057,5394800
2017/6/14,3092,3092,3063,3064,4782100
2017/6/15,3057,3077,3046,3057,5002500
2017/6/16,3092,3096,3063,3077,5876600
2017/6/19,3063,3075,3054,3066,3203500
2017/6/20,3102,3104,3066,3066,5110600
